room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10436811,1429,20333008,Private room,,Boston,,Allston,0,0.0,2,1.0,,50.0,,"Bright, Clean & Great Location",2017-07-10 15:18:35.048911,42.347068,-71.135209,0101000020E6100000FE47A643A7C851C07BBE66B96C2C4540
11528125,1429,10138187,Private room,,Boston,,Allston,1,0.0,2,1.0,,50.0,,One bedroom with TV and balcony,2017-07-10 15:18:35.038616,42.352684,-71.121248,0101000020E610000025ADF886C2C751C047E9D2BF242D4540
13993626,1429,83560942,Private room,,Boston,,Brighton,0,0.0,2,1.0,,50.0,,Great Apt offered near Boston University!,2017-07-10 15:18:35.033601,42.348048,-71.141495,0101000020E61000000B630B410EC951C017B83CD68C2C4540
13295386,1429,274270,Private room,,Boston,,Allston,1,0.0,2,1.0,,59.0,,Central Private Room in Allston by subway,2017-07-10 15:18:35.016606,42.351603,-71.126514,0101000020E61000001D1F2DCE18C851C07616BD53012D4540
14993326,1429,53892441,Private room,,Boston,,Fenway,15,4.5,2,1.0,,50.0,,Perfect room for a perfect hip vacation!,2017-07-10 15:18:33.419238,42.342767,-71.087971,0101000020E6100000C5FF1D51A1C551C0F392FFC9DF2B4540
8112652,1429,30489899,Private room,,Boston,,Allston,5,4.5,1,1.0,,45.0,,Boston University Harvard MIT,2017-07-10 15:18:33.412858,42.355025,-71.137403,0101000020E6100000D4D7F335CBC851C096218E75712D4540
13082258,1429,27569517,Private room,,Boston,,Fenway,2,0.0,1,1.0,,52.0,,"47 Symphony Road, Apt 501",2017-07-10 15:18:33.392652,42.343389,-71.08832,0101000020E61000004BE5ED08A7C551C03067B62BF42B4540
18497489,1429,50646598,Private room,,Boston,,Brighton,0,0.0,1,0.0,,50.0,,Walking paradise: near everything in the city,2017-07-10 15:18:33.375548,42.355325,-71.138849,0101000020E61000004485EAE6E2C851C0C139234A7B2D4540
15498193,1429,8139434,Private room,,Boston,,Allston,6,4.0,1,1.0,,59.0,,m Cozy Sunroom in Allston,2017-07-10 15:18:31.898691,42.350727,-71.14204,0101000020E610000053AEF02E17C951C07F69519FE42C4540
18104950,1429,104636154,Private room,,Boston,,Allston,0,0.0,2,1.0,,49.0,,(2a) Sunny Room 1-2 Guests Long Term Stays by CfSI,2017-07-10 15:18:31.894503,42.352952,-71.134313,0101000020E61000005F9B8D9598C851C06687F8872D2D4540
16983905,1429,50646598,Private room,,Boston,,Allston,1,0.0,1,1.0,,58.0,,"Quiet, central, near everything",2017-07-10 15:18:30.288130,42.356142,-71.137188,0101000020E6100000D5592DB0C7C851C0B35DA10F962D4540
5872926,1429,30489899,Private room,,Boston,,Allston,10,4.0,1,1.0,,58.0,,"BU Harvard MIT, no pets live here",2017-07-10 15:18:30.270513,42.354993,-71.136808,0101000020E610000032755776C1C851C08BA71E69702D4540
19183472,1429,126357446,Private room,,Boston,,Allston,0,0.0,2,1.0,,59.0,,"Lovely Spacious Apt(Master Bd) - Breakfast,Laundry",2017-07-10 15:18:25.997303,42.34763,-71.138713,0101000020E6100000ECA17DACE0C851C0E38DCC237F2C4540
16232570,1429,41167218,Private room,,Boston,,Fenway,16,4.5,2,1.0,,60.0,,Amazing View over Fenway,2017-07-10 15:18:23.271933,42.341799,-71.096127,0101000020E6100000CE50DCF126C651C01B67D311C02B4540
15787684,1429,101861255,Private room,,Boston,,Allston,17,4.5,1,1.0,,59.0,,"Allston Convenience. Walk to T, BU.",2017-07-10 15:18:18.583656,42.353496,-71.137565,0101000020E6100000C0046EDDCDC851C027A25F5B3F2D4540
18913760,1429,13965352,Private room,,Boston,,Back Bay,0,0.0,1,1.0,,57.0,,Fantastic Bedroom in the Heart of Boston,2017-07-10 15:18:15.494948,42.345776,-71.081156,0101000020E6100000F277EFA831C551C0F0DE5163422C4540
8688811,1429,34486727,Private room,,Boston,,East Boston,15,4.5,2,1.0,,59.0,,Perfect private bedroom in Boston,2017-07-10 15:18:14.746264,42.36655,-71.033756,0101000020E6100000CD02ED0E29C251C0A52C431CEB2E4540
8390793,1429,44203099,Private room,,Boston,,North End,0,0.0,1,1.0,,50.0,,awesome apartment in great location,2017-07-10 15:18:14.741526,42.366523,-71.056792,0101000020E61000002AABE97AA2C351C0AC1DC539EA2E4540
12154150,1429,20434629,Private room,,Boston,,Fenway,0,0.0,1,1.0,,55.0,,"Downtown housing, warm and",2017-07-10 15:18:14.721007,42.342738,-71.088431,0101000020E6100000F73C7FDAA8C551C0588CBAD6DE2B4540
12496332,1429,11556349,Private room,,Boston,,South End,0,0.0,2,1.0,,60.0,,Sunny & Spacious room- South End,2017-07-10 15:18:13.493489,42.339094,-71.079005,0101000020E61000001CCEFC6A0EC551C08A22A46E672B4540
19229239,1429,9561814,Private room,,Boston,,East Boston,2,0.0,1,4.0,,49.0,,Cozy room in amazing apartment,2017-07-10 15:18:13.488782,42.373243,-71.036346,0101000020E6100000C9552C7E53C251C0003B376DC62F4540
13076586,1429,22781505,Private room,,Boston,,Fenway,2,0.0,1,1.0,,56.0,,Room in the heart of downtown Boston,2017-07-10 15:18:13.479197,42.342136,-71.090099,0101000020E6100000BF99982EC4C551C06364C91CCB2B4540
9452993,1429,14980513,Private room,,Boston,,Fenway,17,4.5,2,1.0,,50.0,,Summer  at The Heart of Boston,2017-07-10 15:18:13.474484,42.345706,-71.089524,0101000020E6100000410DDFC2BAC551C0F7031E18402C4540
18342681,1429,69587,Private room,,Boston,,East Boston,39,5.0,2,1.0,,60.0,,"★Modern, Cozy & Convenient ★ 14 Mins to Downtown!",2017-07-10 15:18:06.677948,42.374967,-71.037513,0101000020E6100000310BED9C66C251C0240A2DEBFE2F4540
13820571,1429,81414368,Private room,,Boston,,East Boston,59,5.0,1,1.0,,59.0,,Only 7 minutes to downtown Boston.,2017-07-10 15:18:06.669664,42.366998,-71.035943,0101000020E61000004A61DEE34CC251C045D95BCAF92E4540
17365333,1429,117334693,Private room,,Boston,,East Boston,26,5.0,2,1.0,,51.0,,Private room near Airport and Downtown,2017-07-10 15:18:03.425917,42.366214,-71.036089,0101000020E6100000B4AF3C484FC251C02EABB019E02E4540
